name,id
LPC,https://liberal.ca/
Liberal,https://liberal.ca/
Liberal Party,https://liberal.ca/
Liberals,https://liberal.ca/
Libs,https://liberal.ca/
CPC,https://www.conservative.ca/
Conservative,https://www.conservative.ca/
Conservative Party,https://www.conservative.ca/
Conservatives,https://www.conservative.ca/
Cons,https://www.conservative.ca/
NDP,https://www.ndp.ca/
New Democratic Party,https://www.ndp.ca/
New Democrats,https://www.ndp.ca/
NDPs,https://www.ndp.ca/
Bloc,https://www.blocquebecois.org/
BQ,https://www.blocquebecois.org/
Bloc Québécois,https://www.blocquebecois.org/
GPC,https://www.greenparty.ca/
Green,https://www.greenparty.ca/
Green Party,https://www.greenparty.ca/
"Aboultaif, Ziad",https://www.ourcommons.ca/Members/en/ziad-aboultaif(89156)
"Aitchison, Scott",https://www.ourcommons.ca/Members/en/scott-aitchison(105340)
"Albas, Dan",https://www.ourcommons.ca/Members/en/dan-albas(72029)
"Aldag, John",https://www.ourcommons.ca/Members/en/john-aldag(89258)
"Alghabra, Omar",https://www.ourcommons.ca/Members/en/omar-alghabra(89535)
"Ali, Shafqat",https://www.ourcommons.ca/Members/en/shafqat-ali(110339)
"Allison, Dean",https://www.ourcommons.ca/Members/en/dean-allison(25446)
"Anand, Anita",https://www.ourcommons.ca/Members/en/anita-anand(96081)
"Anandasangaree, Gary",https://www.ourcommons.ca/Members/en/gary-anandasangaree(89449)
"Angus, Charlie",https://www.ourcommons.ca/Members/en/charlie-angus(25470)
"Arnold, Mel",https://www.ourcommons.ca/Members/en/mel-arnold(89294)
"Arseneault, René",https://www.ourcommons.ca/Members/en/rene-arseneault(89383)
"Arya, Chandra",https://www.ourcommons.ca/Members/en/chandra-arya(88860)
"Ashton, Niki",https://www.ourcommons.ca/Members/en/niki-ashton(36037)
"Atwin, Jenica",https://www.ourcommons.ca/Members/en/jenica-atwin(104586)
"Bachrach, Taylor",https://www.ourcommons.ca/Members/en/taylor-bachrach(105854)
"Badawey, Vance",https://www.ourcommons.ca/Members/en/vance-badawey(88867)
"Bains, Parm",https://www.ourcommons.ca/Members/en/parm-bains(111067)
"Baker, Yvan",https://www.ourcommons.ca/Members/en/yvan-baker(105121)
"Baldinelli, Tony",https://www.ourcommons.ca/Members/en/tony-baldinelli(30330)
"Barlow, John",https://www.ourcommons.ca/Members/en/john-barlow(86261)
"Barrett, Michael",https://www.ourcommons.ca/Members/en/michael-barrett(102275)
"Barron, Lisa Marie",https://www.ourcommons.ca/Members/en/lisa-marie-barron(111023)
"Barsalou-Duval, Xavier",https://www.ourcommons.ca/Members/en/xavier-barsalou-duval(88422)
"Battiste, Jaime",https://www.ourcommons.ca/Members/en/jaime-battiste(104571)
"Beaulieu, Mario",https://www.ourcommons.ca/Members/en/mario-beaulieu(376)
"Beech, Terry",https://www.ourcommons.ca/Members/en/terry-beech(89236)
"Bendayan, Rachel",https://www.ourcommons.ca/Members/en/rachel-bendayan(88567)
"Bergeron, Stéphane",https://www.ourcommons.ca/Members/en/stephane-bergeron(496)
"Berthold, Luc",https://www.ourcommons.ca/Members/en/luc-berthold(88541)
"Bérubé, Sylvie",https://www.ourcommons.ca/Members/en/sylvie-berube(104622)
"Bezan, James",https://www.ourcommons.ca/Members/en/james-bezan(25475)
"Bibeau, Marie-Claude",https://www.ourcommons.ca/Members/en/marie-claude-bibeau(88449)
"Bittle, Chris",https://www.ourcommons.ca/Members/en/chris-bittle(88934)
"Blaikie, Daniel",https://www.ourcommons.ca/Members/en/daniel-blaikie(89032)
"Blair, Bill",https://www.ourcommons.ca/Members/en/bill-blair(88961)
